Nodo;X;Y;Demanda;Capacidad
1;280.0;431.0;0;637
2;614.0;682.0;80;
3;169.0;552.0;73;
4;226.0;587.0;84;
5;206.0;717.0;73;
6;989.0;750.0;65;
7;410.0;990.0;65;
8;364.0;701.0;73;
9;368.0;696.0;97;
10;351.0;321.0;93;
11;449.0;473.0;81;
12;534.0;782.0;84;
13;615.0;738.0;56;
14;281.0;980.0;76;
15;854.0;43.0;72;
16;288.0;72.0;91;
17;17.0;654.0;65;
18;604.0;710.0;75;
19;795.0;955.0;52;
20;762.0;698.0;72;
21;583.0;824.0;58;
22;605.0;768.0;73;
23;878.0;268.0;75;
24;336.0;23.0;74;
25;204.0;843.0;94;
26;562.0;629.0;62;
27;744.0;848.0;76;
28;545.0;769.0;86;
29;306.0;172.0;55;
30;948.0;707.0;65;
31;575.0;677.0;52;
32;613.0;626.0;92;
33;84.0;128.0;53;
34;691.0;408.0;54;
35;602.0;709.0;75;
36;341.0;287.0;97;
37;913.0;118.0;57;
38;273.0;215.0;74;
39;165.0;961.0;89;
40;336.0;236.0;100;
41;499.0;907.0;86;
42;613.0;819.0;91;
43;433.0;265.0;50;
44;876.0;123.0;98;
45;2.0;318.0;85;
46;80.0;55.0;60;
47;32.0;521.0;61;
48;257.0;916.0;54;
49;334.0;746.0;59;
50;743.0;378.0;53;
51;145.0;703.0;65;
52;421.0;538.0;99;
53;44.0;459.0;96;
54;121.0;328.0;91;
55;650.0;802.0;71;
56;644.0;550.0;52;
57;295.0;602.0;66;
58;352.0;116.0;59;
59;650.0;935.0;98;
60;633.0;229.0;63;
61;814.0;914.0;86;
62;215.0;387.0;79;
63;16.0;827.0;62;
64;328.0;253.0;55;
65;917.0;395.0;57;
66;559.0;698.0;89;
67;229.0;933.0;89;
68;158.0;865.0;66;
69;436.0;579.0;81;
70;629.0;770.0;58;
71;480.0;263.0;78;
72;559.0;555.0;86;
73;85.0;868.0;61;
74;654.0;789.0;63;
75;642.0;805.0;89;
76;203.0;729.0;78;
77;720.0;589.0;64;
78;738.0;666.0;52;
79;480.0;758.0;90;
80;353.0;632.0;89;
81;600.0;679.0;73;
82;323.0;64.0;66;
83;250.0;992.0;69;
84;258.0;941.0;99;
85;336.0;469.0;92;
86;503.0;375.0;84;
87;135.0;369.0;78;
88;410.0;784.0;71;
89;289.0;299.0;75;
90;902.0;29.0;87;
91;337.0;829.0;82;
92;489.0;650.0;86;
93;848.0;463.0;69;
94;332.0;373.0;99;
95;190.0;976.0;75;
96;275.0;232.0;80;
97;548.0;764.0;59;
98;221.0;808.0;76;
99;241.0;170.0;89;
100;683.0;31.0;80;
101;460.0;140.0;72;
102;851.0;805.0;53;
103;393.0;221.0;76;
104;473.0;47.0;67;
105;899.0;711.0;96;
106;207.0;794.0;78;
107;344.0;288.0;52;
108;263.0;768.0;58;
109;735.0;336.0;57;
110;350.0;246.0;62;
111;332.0;293.0;87;
112;688.0;725.0;92;
113;549.0;668.0;86;
114;273.0;913.0;66;
115;877.0;144.0;95;
116;571.0;813.0;66;
117;972.0;356.0;62;
118;791.0;800.0;78;
119;335.0;356.0;56;
120;533.0;771.0;76;
121;891.0;796.0;72;
122;639.0;490.0;91;
123;344.0;201.0;74;
124;570.0;639.0;63;
125;515.0;802.0;67;
126;58.0;827.0;92;
127;576.0;820.0;54;
128;353.0;141.0;84;
129;861.0;813.0;82;
130;239.0;873.0;64;
131;240.0;825.0;76;
132;452.0;742.0;90;
133;325.0;112.0;72;
134;520.0;780.0;58;
135;32.0;644.0;54;
136;326.0;858.0;89;
137;75.0;550.0;91;
138;204.0;814.0;79;
139;188.0;799.0;57;
140;541.0;797.0;93;
141;233.0;354.0;78;
142;359.0;230.0;90;
143;822.0;730.0;97;
144;948.0;769.0;97;
145;184.0;942.0;87;
146;519.0;670.0;90;
147;296.0;680.0;80;
148;706.0;847.0;66;
149;286.0;263.0;99;
150;258.0;697.0;60;
151;261.0;715.0;78;
152;577.0;986.0;79;
153;466.0;891.0;95;
154;629.0;858.0;62;
155;152.0;150.0;57;
156;408.0;0.0;75;
157;500.0;686.0;74;
158;257.0;441.0;77;
159;450.0;391.0;52;
160;358.0;260.0;90;
161;185.0;850.0;66;
162;167.0;870.0;71;
163;336.0;290.0;97;
164;869.0;152.0;56;
165;888.0;817.0;97;
166;216.0;888.0;63;
167;558.0;836.0;63;
168;489.0;324.0;60;
169;453.0;673.0;79;
170;517.0;572.0;50;
171;720.0;440.0;76;
172;292.0;737.0;83;
173;280.0;233.0;82;
174;629.0;681.0;69;
175;501.0;778.0;72;
176;708.0;824.0;82;
177;232.0;113.0;82;
178;394.0;288.0;100;
179;952.0;266.0;97;
180;237.0;768.0;63;
181;111.0;283.0;96;
182;459.0;266.0;51;
183;351.0;264.0;53;
184;479.0;839.0;90;
185;595.0;742.0;65;
186;15.0;614.0;65;
187;787.0;440.0;68;
188;220.0;865.0;76;
189;515.0;668.0;60;
190;14.0;235.0;89;
191;51.0;354.0;62;
192;624.0;608.0;98;
193;52.0;969.0;74;
194;695.0;865.0;91;
195;661.0;689.0;70;
196;773.0;919.0;59;
197;77.0;522.0;93;
198;522.0;745.0;64;
199;523.0;688.0;80;
200;708.0;764.0;79;
201;580.0;958.0;85;
202;501.0;255.0;98;
203;506.0;167.0;83;
204;469.0;458.0;56;
205;398.0;791.0;69;
206;278.0;377.0;78;
207;575.0;765.0;91;
208;623.0;737.0;59;
209;439.0;302.0;78;
210;636.0;620.0;59;
211;641.0;852.0;78;
212;326.0;164.0;81;
213;457.0;91.0;65;
214;444.0;183.0;73;
215;361.0;759.0;71;
216;692.0;605.0;56;
217;734.0;176.0;61;
218;828.0;45.0;79;
219;80.0;973.0;85;
220;554.0;845.0;83;
221;193.0;738.0;88;
222;300.0;322.0;64;
223;396.0;272.0;86;
224;73.0;485.0;65;
225;304.0;191.0;95;
226;379.0;725.0;76;
227;424.0;869.0;94;
228;326.0;608.0;67;
229;296.0;531.0;95;
230;206.0;58.0;81;
231;617.0;881.0;61;
232;806.0;965.0;57;
233;521.0;891.0;65;
234;243.0;51.0;77;
235;225.0;524.0;81;
236;68.0;78.0;97;
237;204.0;294.0;50;
238;440.0;685.0;73;
239;901.0;608.0;97;
240;868.0;661.0;50;
241;119.0;525.0;67;
242;342.0;276.0;73;
243;381.0;370.0;89;
244;458.0;867.0;91;
245;632.0;304.0;64;
246;336.0;413.0;57;
247;211.0;943.0;71;
248;587.0;980.0;95;
249;972.0;778.0;96;
250;310.0;929.0;72;
251;630.0;810.0;55;
252;265.0;224.0;55;
253;229.0;831.0;51;
254;466.0;675.0;57;
255;360.0;162.0;60;
256;582.0;893.0;84;
257;696.0;700.0;66;
258;553.0;853.0;56;
259;337.0;662.0;67;
260;377.0;929.0;87;
261;564.0;371.0;90;
262;786.0;981.0;60;
263;610.0;753.0;54;
264;517.0;835.0;58;
265;384.0;577.0;86;
266;204.0;66.0;99;
267;522.0;939.0;53;
268;282.0;660.0;61;
269;778.0;305.0;68;
270;564.0;226.0;73;
271;90.0;361.0;89;
272;695.0;724.0;56;
273;627.0;642.0;93;
274;593.0;374.0;66;
275;901.0;181.0;98;
276;139.0;914.0;59;
277;285.0;944.0;56;
278;518.0;710.0;77;
279;557.0;868.0;98;
280;680.0;906.0;83;
281;765.0;897.0;83;
282;821.0;927.0;62;
283;553.0;273.0;82;
284;610.0;834.0;63;
285;558.0;738.0;73;
286;649.0;774.0;89;
287;652.0;675.0;70;
288;507.0;921.0;91;
289;252.0;939.0;91;
290;273.0;234.0;61;
291;289.0;254.0;95;
292;921.0;646.0;57;
293;317.0;225.0;68;
294;579.0;722.0;68;
295;709.0;559.0;89;
296;800.0;261.0;70;
297;16.0;276.0;80;
298;490.0;727.0;80;
299;537.0;982.0;61;
300;593.0;818.0;98;
301;5.0;580.0;100;
302;191.0;873.0;88;
303;588.0;755.0;82;
304;299.0;253.0;100;
305;593.0;835.0;54;
306;597.0;779.0;51;
307;602.0;947.0;51;
308;623.0;987.0;79;
309;516.0;487.0;74;
310;866.0;892.0;99;
