Nodo;X;Y;Demanda;Capacidad
1;0.0;0.0;0;208
2;985.0;541.0;16;
3;488.0;67.0;95;
4;787.0;275.0;18;
5;368.0;553.0;35;
6;440.0;422.0;70;
7;683.0;418.0;22;
8;298.0;972.0;61;
9;800.0;646.0;42;
10;271.0;19.0;26;
11;418.0;485.0;41;
12;321.0;431.0;57;
13;540.0;600.0;98;
14;377.0;958.0;16;
15;413.0;318.0;76;
16;986.0;224.0;58;
17;489.0;968.0;23;
18;273.0;651.0;77;
19;570.0;995.0;34;
20;223.0;155.0;80;
21;316.0;559.0;9;
22;152.0;568.0;94;
23;889.0;444.0;37;
24;673.0;490.0;84;
25;17.0;654.0;11;
26;308.0;443.0;12;
27;660.0;720.0;18;
28;557.0;824.0;92;
29;880.0;244.0;48;
30;213.0;2.0;39;
31;825.0;384.0;20;
32;259.0;358.0;22;
33;499.0;877.0;5;
34;706.0;389.0;48;
35;446.0;664.0;3;
36;748.0;776.0;93;
37;216.0;137.0;68;
38;749.0;481.0;51;
39;808.0;461.0;43;
40;347.0;885.0;7;
41;69.0;468.0;96;
42;30.0;874.0;83;
43;948.0;489.0;41;
44;274.0;680.0;96;
45;723.0;555.0;14;
46;279.0;89.0;23;
47;605.0;355.0;76;
48;59.0;435.0;56;
49;616.0;584.0;15;
50;838.0;59.0;77;
51;678.0;400.0;63;
52;292.0;43.0;2;
53;809.0;199.0;55;
54;519.0;916.0;28;
55;810.0;552.0;31;
56;760.0;403.0;19;
57;776.0;408.0;19;
58;878.0;827.0;100;
59;511.0;310.0;20;
60;573.0;279.0;90;
61;832.0;927.0;100;
62;830.0;702.0;84;
63;444.0;493.0;1;
64;728.0;800.0;42;
65;196.0;286.0;3;
66;547.0;403.0;48;
67;54.0;660.0;84;
68;241.0;947.0;19;
69;992.0;213.0;64;
70;330.0;452.0;6;
71;639.0;121.0;20;
72;379.0;813.0;18;
73;913.0;579.0;54;
74;24.0;726.0;28;
75;941.0;117.0;96;
76;409.0;924.0;42;
77;727.0;548.0;81;
78;875.0;753.0;80;
79;569.0;958.0;42;
80;0.0;335.0;85;
81;317.0;268.0;9;
82;832.0;556.0;89;
83;651.0;160.0;95;
84;671.0;45.0;84;
85;655.0;680.0;44;
86;529.0;524.0;57;
87;52.0;98.0;3;
88;424.0;548.0;44;
89;720.0;589.0;82;
90;497.0;964.0;70;
91;629.0;947.0;88;
92;651.0;49.0;60;
93;500.0;761.0;90;
94;474.0;476.0;8;
95;735.0;625.0;27;
96;841.0;620.0;62;
97;829.0;839.0;92;
98;759.0;522.0;23;
99;800.0;563.0;34;
100;489.0;650.0;58;
101;181.0;68.0;4;
102;413.0;401.0;22;
103;454.0;551.0;78;
104;20.0;309.0;22;
105;778.0;377.0;55;
106;413.0;290.0;49;
107;985.0;283.0;21;
108;990.0;516.0;61;
109;459.0;76.0;67;
110;917.0;350.0;63;
111;748.0;590.0;22;
112;222.0;317.0;74;
113;901.0;142.0;13;
114;80.0;278.0;64;
115;958.0;497.0;1;
116;635.0;68.0;95;
117;764.0;288.0;2;
118;326.0;271.0;7;
119;437.0;942.0;87;
120;874.0;775.0;87;
121;265.0;757.0;23;
122;657.0;811.0;62;
123;605.0;661.0;50;
124;473.0;890.0;38;
125;511.0;918.0;55;
126;463.0;851.0;57;
127;503.0;594.0;26;
128;790.0;504.0;50;
129;776.0;342.0;35;
130;742.0;486.0;82;
131;248.0;421.0;92;
132;527.0;907.0;95;
133;787.0;566.0;28;
134;859.0;477.0;70;
135;540.0;262.0;26;
136;878.0;363.0;68;
137;749.0;632.0;86;
138;736.0;569.0;65;
139;607.0;366.0;12;
140;594.0;571.0;87;
141;465.0;629.0;55;
142;836.0;524.0;25;
143;230.0;311.0;31;
144;571.0;651.0;25;
145;748.0;304.0;77;
146;344.0;918.0;59;
147;754.0;865.0;81;
148;867.0;578.0;48;
149;444.0;497.0;22;
150;242.0;505.0;46;
151;675.0;279.0;59;
152;412.0;855.0;66;
153;309.0;605.0;12;
154;513.0;449.0;72;
155;684.0;366.0;75;
156;496.0;863.0;21;
157;747.0;278.0;81;
158;628.0;51.0;91;
159;422.0;982.0;96;
160;812.0;202.0;47;
161;104.0;655.0;83;
162;509.0;936.0;77;
163;422.0;545.0;56;
164;759.0;968.0;71;
165;581.0;788.0;53;
166;656.0;757.0;83;
167;508.0;224.0;11;
168;609.0;715.0;89;
169;516.0;897.0;44;
170;479.0;929.0;1;
171;134.0;4.0;46;
172;527.0;982.0;80;
173;582.0;646.0;9;
174;803.0;759.0;70;
175;459.0;445.0;59;
176;370.0;80.0;61;
177;725.0;938.0;48;
178;638.0;697.0;69;
179;551.0;802.0;45;
180;823.0;537.0;89;
181;534.0;980.0;26;
182;691.0;999.0;73;
183;359.0;813.0;16;
184;929.0;46.0;48;
185;860.0;514.0;8;
186;785.0;643.0;88;
187;845.0;338.0;32;
188;562.0;840.0;83;
189;748.0;547.0;16;
190;824.0;179.0;93;
191;458.0;897.0;2;
192;8.0;384.0;12;
193;815.0;511.0;5;
194;781.0;396.0;100;
195;970.0;455.0;2;
196;808.0;502.0;99;
197;695.0;918.0;10;
198;457.0;367.0;79;
199;134.0;866.0;26;
200;305.0;556.0;36;
201;216.0;65.0;57;
202;834.0;346.0;99;
203;933.0;162.0;48;
204;373.0;949.0;74;
205;635.0;334.0;89;
206;728.0;220.0;75;
207;467.0;304.0;78;
208;710.0;284.0;21;
209;801.0;528.0;31;
210;877.0;261.0;68;
211;594.0;765.0;14;
212;515.0;943.0;82;
213;737.0;331.0;10;
214;492.0;672.0;10;
215;196.0;688.0;7;
216;788.0;405.0;56;
217;382.0;159.0;3;
218;843.0;411.0;23;
219;936.0;7.0;55;
220;476.0;192.0;62;
221;260.0;705.0;5;
222;376.0;468.0;64;
223;231.0;110.0;79;
224;309.0;992.0;72;
225;790.0;81.0;50;
226;297.0;604.0;2;
227;465.0;738.0;66;
228;89.0;802.0;90;
229;842.0;288.0;34;
230;664.0;512.0;61;
231;441.0;393.0;52;
232;279.0;581.0;88;
233;852.0;377.0;46;
234;46.0;304.0;55;
235;840.0;321.0;87;
236;362.0;909.0;49;
237;453.0;466.0;96;
238;405.0;159.0;12;
239;79.0;296.0;3;
240;747.0;547.0;72;
241;551.0;642.0;47;
242;737.0;312.0;87;
243;462.0;467.0;15;
244;582.0;448.0;16;
245;345.0;711.0;25;
246;775.0;75.0;72;
247;137.0;755.0;100;
248;871.0;994.0;99;
249;622.0;476.0;39;
250;224.0;691.0;5;
251;379.0;277.0;99;
252;871.0;627.0;94;
253;474.0;7.0;41;
254;312.0;214.0;97;
255;702.0;487.0;82;
256;507.0;690.0;97;
257;464.0;497.0;7;
258;550.0;298.0;52;
259;690.0;771.0;28;
260;380.0;189.0;14;
261;881.0;320.0;3;
262;590.0;280.0;35;
263;114.0;113.0;60;
264;612.0;496.0;6;
265;371.0;546.0;74;
266;449.0;508.0;50;
267;986.0;13.0;37;
268;768.0;328.0;75;
269;56.0;74.0;95;
270;809.0;524.0;84;
271;937.0;583.0;3;
272;523.0;510.0;88;
273;782.0;345.0;91;
274;514.0;971.0;88;
275;986.0;188.0;60;
276;259.0;764.0;62;
277;688.0;526.0;46;
278;694.0;532.0;92;
279;886.0;780.0;85;
280;85.0;35.0;75;
281;254.0;701.0;98;
282;790.0;582.0;19;
283;294.0;640.0;85;
284;558.0;589.0;28;
285;689.0;674.0;90;
286;744.0;531.0;99;
287;639.0;418.0;66;
288;736.0;643.0;40;
289;459.0;592.0;28;
290;46.0;144.0;20;
291;477.0;482.0;18;
292;98.0;355.0;9;
293;800.0;483.0;93;
294;585.0;883.0;53;
295;468.0;337.0;30;
296;698.0;690.0;96;
297;148.0;599.0;84;
298;610.0;429.0;100;
299;941.0;255.0;94;
300;858.0;815.0;40;
301;417.0;547.0;9;
302;932.0;454.0;90;
303;314.0;925.0;73;
304;352.0;216.0;67;
305;940.0;825.0;59;
306;488.0;904.0;12;
307;343.0;282.0;14;
308;20.0;879.0;12;
309;595.0;486.0;96;
310;286.0;238.0;69;
311;803.0;448.0;52;
312;770.0;267.0;25;
313;784.0;18.0;75;
314;560.0;251.0;91;
315;776.0;904.0;39;
316;455.0;848.0;44;
317;971.0;819.0;75;
318;737.0;437.0;67;
319;793.0;331.0;93;
320;812.0;33.0;55;
321;281.0;415.0;53;
322;655.0;629.0;5;
323;716.0;431.0;60;
324;659.0;622.0;63;
325;806.0;707.0;31;
326;962.0;920.0;87;
327;737.0;22.0;54;
328;746.0;444.0;16;
329;565.0;792.0;5;
330;821.0;398.0;100;
331;894.0;716.0;13;
332;544.0;557.0;10;
333;787.0;387.0;9;
334;740.0;161.0;71;
335;523.0;397.0;30;
336;449.0;472.0;96;
337;342.0;141.0;60;
338;874.0;488.0;50;
339;954.0;515.0;12;
340;226.0;682.0;89;
341;694.0;577.0;22;
342;825.0;278.0;64;
343;355.0;99.0;3;
344;781.0;579.0;85;
345;468.0;834.0;14;
346;296.0;339.0;29;
347;434.0;614.0;40;
348;946.0;405.0;75;
349;784.0;568.0;15;
350;610.0;142.0;22;
351;660.0;567.0;27;
352;865.0;547.0;1;
353;408.0;988.0;18;
354;351.0;772.0;8;
355;557.0;985.0;22;
356;728.0;229.0;87;
357;781.0;293.0;4;
358;415.0;763.0;72;
