Nodo;X;Y;Demanda
1;370.0;604.0;0
2;288.0;897.0;97
3;287.0;924.0;62
4;683.0;970.0;64
5;88.0;618.0;80
6;42.0;868.0;58
7;961.0;535.0;60
8;415.0;580.0;87
9;250.0;266.0;75
10;293.0;850.0;89
11;376.0;835.0;76
12;854.0;242.0;93
13;635.0;868.0;57
14;711.0;22.0;61
15;813.0;671.0;60
16;148.0;495.0;88
17;601.0;727.0;57
18;310.0;835.0;82
19;13.0;870.0;87
20;422.0;649.0;78
21;124.0;68.0;80
22;278.0;888.0;60
23;748.0;160.0;51
24;94.0;628.0;84
25;183.0;278.0;85
26;612.0;932.0;76
27;144.0;498.0;82
28;295.0;676.0;99
29;201.0;765.0;75
30;295.0;912.0;96
31;322.0;556.0;50
32;199.0;586.0;53
33;653.0;318.0;56
34;58.0;691.0;76
35;326.0;904.0;80
36;623.0;346.0;74
37;852.0;400.0;99
38;241.0;421.0;80
39;857.0;400.0;53
40;334.0;370.0;55
41;584.0;291.0;99
42;285.0;798.0;61
43;526.0;743.0;88
44;230.0;641.0;75
45;415.0;229.0;83
46;365.0;940.0;57
47;144.0;535.0;53
48;932.0;141.0;83
49;250.0;901.0;85
50;2.0;771.0;92
51;837.0;476.0;58
52;166.0;762.0;50
53;815.0;206.0;94
54;263.0;962.0;57
55;105.0;455.0;80
56;202.0;392.0;87
57;367.0;397.0;75
58;264.0;734.0;77
59;833.0;183.0;71
60;759.0;790.0;59
61;587.0;361.0;62
62;537.0;521.0;68
63;168.0;490.0;62
64;290.0;961.0;86
65;82.0;548.0;83
66;585.0;267.0;57
67;197.0;565.0;56
68;315.0;232.0;92
69;773.0;26.0;62
70;271.0;933.0;56
71;816.0;749.0;58
72;78.0;200.0;98
73;480.0;599.0;51
74;784.0;451.0;50
75;746.0;837.0;57
76;535.0;188.0;57
77;747.0;287.0;56
78;322.0;821.0;69
79;373.0;605.0;95
80;634.0;361.0;84
81;783.0;380.0;97
82;656.0;123.0;61
83;586.0;315.0;98
84;536.0;695.0;95
85;341.0;907.0;77
86;574.0;339.0;78
87;252.0;986.0;65
88;58.0;488.0;66
89;2.0;209.0;77
90;314.0;751.0;52
91;701.0;977.0;77
92;311.0;877.0;95
93;733.0;365.0;77
94;44.0;429.0;87
95;300.0;931.0;95
96;331.0;809.0;80
97;306.0;893.0;51
98;235.0;548.0;69
99;544.0;300.0;66
100;114.0;390.0;88
101;630.0;359.0;85
102;804.0;918.0;97
103;321.0;988.0;79
104;115.0;613.0;97
105;407.0;44.0;56
106;921.0;181.0;87
107;13.0;746.0;53
108;905.0;569.0;90
109;754.0;394.0;86
110;252.0;862.0;97
111;27.0;110.0;76
112;770.0;466.0;99
113;90.0;535.0;67
114;983.0;662.0;96
115;608.0;361.0;84
116;85.0;232.0;51
117;146.0;607.0;84
118;450.0;195.0;78
119;358.0;881.0;64
120;312.0;916.0;100
121;97.0;577.0;64
122;666.0;404.0;73
123;268.0;527.0;96
124;849.0;179.0;77
125;780.0;481.0;52
126;116.0;854.0;55
127;625.0;273.0;64
128;119.0;561.0;65
129;181.0;566.0;93
130;499.0;410.0;84
131;652.0;876.0;53
132;360.0;853.0;79
133;202.0;53.0;99
134;159.0;846.0;72
135;646.0;631.0;97
136;674.0;837.0;89
137;414.0;600.0;68
