Nodo;X;Y;Demanda
1;0.0;0.0;0
2;55.0;412.0;77
3;730.0;260.0;60
4;308.0;101.0;60
5;607.0;405.0;86
6;101.0;312.0;53
7;818.0;236.0;75
8;661.0;937.0;94
9;76.0;88.0;80
10;933.0;451.0;100
11;39.0;832.0;69
12;579.0;461.0;87
13;464.0;649.0;94
14;33.0;433.0;98
15;384.0;208.0;67
16;437.0;586.0;91
17;649.0;287.0;64
18;140.0;104.0;78
19;3.0;759.0;87
20;816.0;66.0;62
21;165.0;540.0;71
22;615.0;585.0;95
23;967.0;332.0;67
24;327.0;861.0;87
25;634.0;609.0;66
26;265.0;75.0;63
27;168.0;701.0;81
28;451.0;900.0;87
29;464.0;744.0;77
30;359.0;388.0;50
31;948.0;42.0;84
32;56.0;482.0;95
33;259.0;154.0;63
34;325.0;133.0;82
35;787.0;656.0;71
36;129.0;976.0;66
37;535.0;743.0;75
38;254.0;388.0;50
39;292.0;638.0;56
40;422.0;517.0;53
41;218.0;355.0;59
42;462.0;878.0;85
43;302.0;953.0;80
44;379.0;659.0;81
45;396.0;24.0;73
46;660.0;39.0;100
47;127.0;589.0;71
48;591.0;521.0;86
49;731.0;410.0;63
50;521.0;328.0;76
51;2.0;526.0;74
52;338.0;919.0;67
53;844.0;709.0;87
54;695.0;522.0;53
55;487.0;193.0;73
56;300.0;548.0;50
57;536.0;116.0;65
58;867.0;57.0;69
59;175.0;405.0;84
60;285.0;746.0;89
61;35.0;747.0;56
62;948.0;651.0;71
63;970.0;306.0;62
64;828.0;558.0;55
65;327.0;437.0;87
66;295.0;577.0;100
67;930.0;132.0;78
68;560.0;941.0;93
69;686.0;662.0;51
70;66.0;208.0;81
71;988.0;586.0;89
72;555.0;169.0;61
73;389.0;470.0;65
74;674.0;300.0;100
75;977.0;863.0;50
76;597.0;693.0;86
77;104.0;791.0;80
78;583.0;390.0;56
79;381.0;341.0;62
80;929.0;724.0;79
81;214.0;650.0;85
82;769.0;917.0;88
83;793.0;574.0;68
84;701.0;925.0;86
85;85.0;919.0;93
86;31.0;465.0;67
87;550.0;818.0;88
88;734.0;223.0;64
89;670.0;141.0;52
90;801.0;405.0;62
91;696.0;189.0;88
92;827.0;661.0;50
93;277.0;700.0;74
94;614.0;895.0;76
95;410.0;264.0;87
96;23.0;235.0;81
97;865.0;459.0;67
98;186.0;921.0;85
99;334.0;491.0;57
100;166.0;883.0;63
101;372.0;535.0;61
