Nodo;X;Y;Demanda;Capacidad
1;365.0;689.0;0;206
2;146.0;180.0;38;
3;792.0;5.0;51;
4;658.0;510.0;73;
5;461.0;270.0;70;
6;299.0;531.0;58;
7;812.0;228.0;54;
8;643.0;90.0;1;
9;615.0;630.0;98;
10;258.0;42.0;62;
11;616.0;299.0;98;
12;475.0;957.0;25;
13;425.0;473.0;86;
14;406.0;64.0;46;
15;656.0;369.0;27;
16;202.0;467.0;17;
17;318.0;21.0;97;
18;579.0;587.0;74;
19;458.0;354.0;81;
20;575.0;871.0;62;
21;47.0;512.0;59;
22;568.0;742.0;23;
23;128.0;436.0;62;
24;546.0;806.0;66;
25;197.0;696.0;35;
26;615.0;300.0;53;
27;852.0;563.0;18;
28;772.0;803.0;87;
29;678.0;342.0;32;
30;916.0;176.0;4;
31;390.0;949.0;61;
32;113.0;782.0;95;
33;226.0;736.0;23;
34;119.0;923.0;15;
35;584.0;572.0;5;
36;134.0;554.0;53;
37;912.0;173.0;97;
38;827.0;233.0;70;
39;851.0;677.0;32;
40;598.0;322.0;27;
41;627.0;472.0;42;
42;94.0;442.0;67;
43;688.0;274.0;76;
44;977.0;176.0;15;
45;597.0;461.0;39;
46;931.0;23.0;14;
47;170.0;640.0;43;
48;941.0;601.0;11;
49;873.0;487.0;93;
50;797.0;95.0;53;
51;451.0;816.0;44;
52;866.0;970.0;80;
53;833.0;912.0;87;
54;106.0;913.0;97;
55;260.0;107.0;67;
56;332.0;45.0;72;
57;685.0;613.0;50;
58;728.0;372.0;8;
59;487.0;497.0;58;
60;702.0;440.0;55;
61;717.0;412.0;67;
62;635.0;794.0;89;
63;927.0;972.0;38;
64;635.0;356.0;65;
65;634.0;540.0;3;
66;658.0;261.0;5;
67;303.0;168.0;46;
68;707.0;410.0;100;
69;254.0;135.0;52;
70;346.0;29.0;28;
71;75.0;79.0;96;
72;893.0;987.0;18;
73;729.0;372.0;16;
74;29.0;910.0;7;
75;356.0;39.0;73;
76;274.0;943.0;76;
77;322.0;96.0;6;
78;664.0;396.0;64;
79;704.0;236.0;39;
80;415.0;837.0;86;
81;576.0;587.0;70;
82;750.0;977.0;14;
83;726.0;363.0;83;
84;861.0;948.0;96;
85;302.0;129.0;43;
86;415.0;989.0;12;
87;199.0;135.0;73;
88;801.0;405.0;2;
89;679.0;426.0;21;
90;994.0;804.0;18;
91;311.0;116.0;55;
92;739.0;898.0;75;
93;268.0;97.0;68;
94;176.0;991.0;100;
95;688.0;588.0;61;
96;107.0;836.0;24;
97;708.0;522.0;40;
98;679.0;864.0;48;
99;985.0;877.0;51;
100;954.0;950.0;78;
101;615.0;750.0;35;
