Nodo;X;Y;Demanda
1;737.0;450.0;0
2;235.0;789.0;1
3;340.0;234.0;1
4;346.0;320.0;1
5;406.0;309.0;1
6;556.0;636.0;1
7;872.0;923.0;1
8;937.0;83.0;1
9;9.0;321.0;1
10;558.0;18.0;1
11;63.0;833.0;1
12;250.0;509.0;1
13;143.0;192.0;1
14;624.0;286.0;1
15;364.0;117.0;1
16;332.0;953.0;1
17;235.0;142.0;1
18;590.0;430.0;1
19;303.0;692.0;1
20;936.0;665.0;1
21;39.0;410.0;1
22;247.0;581.0;1
23;986.0;739.0;1
24;11.0;283.0;1
25;138.0;747.0;1
26;837.0;511.0;1
27;596.0;206.0;1
28;218.0;339.0;1
29;443.0;922.0;1
30;555.0;133.0;1
31;896.0;306.0;1
32;415.0;752.0;1
33;691.0;216.0;1
34;51.0;0.0;1
35;726.0;19.0;1
36;166.0;333.0;1
37;951.0;932.0;1
38;928.0;807.0;1
39;505.0;590.0;1
40;236.0;284.0;1
41;115.0;882.0;1
42;238.0;887.0;1
43;729.0;26.0;1
44;94.0;697.0;1
45;409.0;899.0;1
46;993.0;715.0;1
47;473.0;607.0;1
48;414.0;55.0;1
49;884.0;327.0;1
50;651.0;407.0;1
51;891.0;372.0;1
52;570.0;733.0;1
53;919.0;529.0;1
54;629.0;220.0;1
55;711.0;630.0;1
56;141.0;492.0;1
57;720.0;382.0;1
58;794.0;51.0;1
59;745.0;451.0;1
60;409.0;990.0;1
61;825.0;781.0;1
62;966.0;938.0;1
63;378.0;175.0;1
64;859.0;269.0;1
65;596.0;131.0;1
66;419.0;557.0;1
67;77.0;908.0;1
68;679.0;268.0;1
69;726.0;860.0;1
70;382.0;728.0;1
71;885.0;15.0;1
72;258.0;313.0;1
73;734.0;905.0;1
74;533.0;912.0;1
75;924.0;636.0;1
76;694.0;621.0;1
77;469.0;223.0;1
78;507.0;707.0;1
79;892.0;168.0;1
80;281.0;800.0;1
81;607.0;285.0;1
82;388.0;354.0;1
83;568.0;781.0;1
84;22.0;348.0;1
85;153.0;579.0;1
86;218.0;236.0;1
87;308.0;904.0;1
88;119.0;154.0;1
89;939.0;105.0;1
90;489.0;374.0;1
91;547.0;736.0;1
92;480.0;1000.0;1
93;124.0;883.0;1
94;647.0;930.0;1
95;295.0;741.0;1
96;213.0;53.0;1
97;701.0;446.0;1
98;589.0;708.0;1
99;644.0;147.0;1
100;133.0;377.0;1
101;983.0;343.0;1
102;169.0;651.0;1
103;262.0;450.0;1
104;255.0;422.0;1
105;115.0;640.0;1
106;693.0;344.0;1
107;896.0;910.0;1
108;298.0;531.0;1
109;573.0;416.0;1
110;416.0;512.0;1
111;870.0;50.0;1
112;185.0;436.0;1
113;656.0;268.0;1
114;53.0;522.0;1
115;587.0;165.0;1
116;542.0;762.0;1
117;995.0;809.0;1
118;266.0;878.0;1
119;27.0;812.0;1
120;196.0;522.0;1
121;45.0;164.0;1
122;174.0;729.0;1
123;252.0;311.0;1
124;681.0;621.0;1
125;594.0;478.0;1
126;848.0;361.0;1
127;897.0;253.0;1
128;729.0;354.0;1
129;255.0;410.0;1
130;811.0;703.0;1
131;677.0;991.0;1
132;781.0;909.0;1
133;971.0;632.0;1
134;540.0;824.0;1
135;887.0;144.0;1
136;475.0;860.0;1
137;509.0;336.0;1
138;967.0;433.0;1
139;897.0;98.0;1
140;157.0;676.0;1
141;971.0;727.0;1
142;972.0;381.0;1
143;658.0;504.0;1
144;375.0;214.0;1
145;280.0;526.0;1
146;895.0;158.0;1
147;196.0;779.0;1
148;379.0;223.0;1
149;692.0;470.0;1
150;22.0;395.0;1
151;119.0;604.0;1
152;622.0;843.0;1
153;289.0;811.0;1
154;98.0;365.0;1
155;111.0;426.0;1
156;261.0;101.0;1
157;483.0;818.0;1
158;820.0;480.0;1
159;433.0;961.0;1
160;656.0;421.0;1
161;511.0;273.0;1
162;334.0;794.0;1
163;426.0;686.0;1
164;870.0;112.0;1
165;941.0;978.0;1
166;744.0;498.0;1
167;7.0;346.0;1
168;168.0;877.0;1
169;166.0;244.0;1
170;604.0;430.0;1
171;176.0;452.0;1
172;522.0;306.0;1
173;912.0;406.0;1
174;423.0;564.0;1
175;505.0;779.0;1
176;101.0;383.0;1
177;729.0;307.0;1
178;162.0;515.0;1
179;647.0;869.0;1
180;784.0;983.0;1
181;496.0;811.0;1
182;736.0;39.0;1
183;833.0;529.0;1
184;646.0;367.0;1
185;922.0;294.0;1
186;513.0;535.0;1
187;373.0;331.0;1
188;471.0;694.0;1
189;39.0;149.0;1
190;813.0;538.0;1
191;153.0;115.0;1
192;244.0;505.0;1
193;716.0;286.0;1
194;409.0;228.0;1
195;140.0;484.0;1
196;652.0;239.0;1
197;141.0;628.0;1
198;30.0;924.0;1
199;877.0;307.0;1
200;586.0;723.0;1
201;336.0;615.0;1
202;856.0;584.0;1
203;984.0;221.0;1
204;641.0;671.0;1
205;648.0;704.0;1
206;19.0;309.0;1
207;661.0;125.0;1
208;614.0;194.0;1
209;253.0;864.0;1
210;106.0;841.0;1
211;187.0;687.0;1
212;5.0;289.0;1
213;657.0;83.0;1
214;658.0;58.0;1
215;419.0;839.0;1
216;519.0;347.0;1
217;191.0;864.0;1
218;666.0;486.0;1
219;288.0;276.0;1
220;562.0;646.0;1
221;516.0;725.0;1
222;75.0;785.0;1
223;309.0;966.0;1
224;743.0;856.0;1
225;121.0;698.0;1
226;286.0;258.0;1
227;70.0;635.0;1
228;376.0;539.0;1
229;824.0;834.0;1
230;650.0;350.0;1
231;742.0;277.0;1
232;977.0;647.0;1
233;268.0;698.0;1
234;973.0;145.0;1
235;569.0;655.0;1
236;765.0;22.0;1
237;427.0;869.0;1
238;11.0;869.0;1
239;377.0;793.0;1
240;162.0;897.0;1
241;102.0;444.0;1
242;979.0;386.0;1
243;69.0;483.0;1
244;294.0;395.0;1
245;424.0;536.0;1
246;37.0;705.0;1
247;126.0;782.0;1
248;490.0;30.0;1
249;348.0;771.0;1
250;808.0;469.0;1
251;107.0;512.0;1
252;782.0;207.0;1
253;161.0;793.0;1
254;859.0;469.0;1
255;148.0;763.0;1
256;403.0;723.0;1
257;978.0;760.0;1
258;214.0;132.0;1
259;467.0;387.0;1
260;292.0;262.0;1
261;238.0;846.0;1
262;853.0;27.0;1
263;855.0;506.0;1
264;591.0;902.0;1
265;213.0;742.0;1
266;203.0;364.0;1
267;183.0;3.0;1
268;143.0;608.0;1
269;501.0;152.0;1
270;649.0;492.0;1
271;904.0;31.0;1
272;997.0;741.0;1
273;527.0;299.0;1
274;26.0;402.0;1
