Nodo;X;Y;Demanda;Capacidad
1;989.0;944.0;0;188
2;5.0;730.0;32;
3;769.0;200.0;7;
4;698.0;515.0;83;
5;72.0;561.0;30;
6;52.0;397.0;62;
7;771.0;177.0;26;
8;81.0;537.0;31;
9;43.0;371.0;75;
10;716.0;202.0;5;
11;106.0;406.0;85;
12;627.0;172.0;15;
13;10.0;338.0;94;
14;776.0;432.0;16;
15;761.0;469.0;38;
16;759.0;287.0;32;
17;593.0;363.0;5;
18;773.0;290.0;17;
19;129.0;398.0;92;
20;709.0;193.0;50;
21;99.0;564.0;16;
22;163.0;418.0;79;
23;48.0;619.0;11;
24;907.0;406.0;33;
25;929.0;527.0;60;
26;69.0;672.0;11;
27;675.0;960.0;96;
28;50.0;763.0;46;
29;736.0;240.0;48;
30;46.0;518.0;31;
31;128.0;793.0;25;
32;699.0;581.0;96;
33;58.0;398.0;71;
34;43.0;393.0;61;
35;783.0;186.0;3;
36;58.0;360.0;100;
37;45.0;712.0;6;
38;38.0;393.0;94;
39;652.0;524.0;88;
40;37.0;364.0;53;
41;37.0;617.0;19;
42;61.0;534.0;50;
43;664.0;358.0;19;
44;555.0;445.0;39;
45;712.0;465.0;21;
46;38.0;469.0;95;
47;2.0;729.0;7;
48;65.0;620.0;40;
49;156.0;497.0;51;
50;857.0;475.0;16;
51;773.0;234.0;47;
52;879.0;98.0;13;
53;685.0;466.0;30;
54;21.0;421.0;56;
55;109.0;536.0;5;
56;60.0;738.0;9;
57;897.0;564.0;95;
58;96.0;383.0;70;
59;76.0;582.0;5;
60;739.0;193.0;31;
61;669.0;548.0;80;
62;284.0;462.0;53;
63;193.0;813.0;28;
64;15.0;696.0;38;
65;102.0;541.0;7;
66;28.0;578.0;28;
67;828.0;292.0;18;
68;73.0;519.0;31;
69;70.0;645.0;6;
70;40.0;433.0;71;
71;745.0;159.0;1;
72;0.0;486.0;84;
73;75.0;511.0;47;
74;228.0;312.0;68;
75;732.0;427.0;12;
76;61.0;407.0;88;
77;495.0;621.0;39;
78;84.0;538.0;31;
79;751.0;246.0;6;
80;22.0;714.0;30;
81;63.0;571.0;19;
82;641.0;350.0;38;
83;873.0;540.0;74;
84;211.0;418.0;75;
85;287.0;618.0;2;
86;155.0;796.0;31;
87;627.0;595.0;67;
88;546.0;199.0;47;
89;795.0;58.0;47;
90;805.0;15.0;36;
91;649.0;486.0;20;
92;145.0;377.0;65;
93;673.0;319.0;17;
94;700.0;678.0;81;
95;86.0;623.0;38;
96;158.0;613.0;8;
97;673.0;619.0;95;
98;738.0;444.0;18;
99;17.0;449.0;70;
100;122.0;182.0;95;
101;108.0;334.0;65;
102;100.0;550.0;42;
103;677.0;505.0;88;
104;23.0;365.0;88;
105;20.0;512.0;5;
106;892.0;41.0;43;
107;452.0;457.0;76;
108;70.0;541.0;46;
109;224.0;931.0;17;
110;67.0;692.0;36;
111;198.0;317.0;74;
112;513.0;731.0;97;
113;159.0;369.0;86;
114;51.0;378.0;65;
115;556.0;137.0;38;
116;800.0;100.0;47;
117;795.0;278.0;41;
118;158.0;773.0;17;
119;43.0;656.0;7;
120;41.0;488.0;52;
121;70.0;375.0;98;
122;132.0;545.0;39;
123;203.0;328.0;59;
124;728.0;467.0;10;
125;759.0;208.0;50;
