Nodo;X;Y;Demanda
1;0.0;0.0;0
2;5.7735;0.0;40
3;2.8867;5.0;40
4;-2.8868;5.0;40
5;-5.7735;0.0;40
6;-2.8867;-5.0;40
7;2.8868;-5.0;40
8;8.6603;5.0;40
9;0.0;10.0;40
10;-8.6603;5.0;40
11;-8.6603;-5.0;40
12;0.0;-10.0;40
13;8.6603;-5.0;40
14;5.3405;0.75;10
15;3.3198;4.25;10
16;6.4952;-1.25;10
17;7.2169;-2.5;20
18;7.9386;-3.75;10
19;6.4952;1.25;10
20;7.2169;2.5;20
21;7.9386;3.75;10
22;2.0207;5.0;10
23;-2.0207;5.0;10
24;4.3301;5.0;10
25;5.7735;5.0;20
26;7.2169;5.0;10
27;2.1651;6.25;10
28;1.4434;7.5;20
29;0.7217;8.75;10
30;-3.3198;4.25;10
31;-5.3405;0.75;10
32;-2.1651;6.25;10
33;-1.4434;7.5;20
34;-0.7217;8.75;10
35;-4.3301;5.0;10
36;-5.7735;5.0;20
37;-7.2169;5.0;10
38;-5.3405;-0.75;10
39;-3.3198;-4.25;10
40;-6.4952;1.25;10
41;-7.2169;2.5;20
42;-7.9386;3.75;10
43;-6.4952;-1.25;10
44;-7.2169;-2.5;20
45;-7.9386;-3.75;10
46;-2.0207;-5.0;10
47;2.0207;-5.0;10
48;-4.3301;-5.0;10
49;-5.7735;-5.0;20
50;-7.2169;-5.0;10
51;-2.1651;-6.25;10
52;-1.4434;-7.5;20
53;-0.7217;-8.75;10
54;3.3198;-4.25;10
55;5.3405;-0.75;10
56;2.1651;-6.25;10
57;1.4434;-7.5;20
58;0.7217;-8.75;10
59;4.3301;-5.0;10
60;5.7735;-5.0;20
61;7.2169;-5.0;10
62;7.2169;0.0;40
63;3.6084;6.25;40
64;-3.6084;6.25;40
65;-7.2169;0.0;40
66;-3.6084;-6.25;40
67;3.6084;-6.25;40
68;10.8253;6.25;40
69;0.0;12.5;40
70;-10.8253;6.25;40
71;-10.8253;-6.25;40
72;0.0;-12.5;40
73;10.8253;-6.25;40
74;6.6756;0.9375;10
75;4.1497;5.3125;10
76;8.119;-1.5625;10
77;9.0211;-3.125;20
78;9.9232;-4.6875;10
79;8.119;1.5625;10
80;9.0211;3.125;20
81;9.9232;4.6875;10
82;2.5259;6.25;10
83;-2.5259;6.25;10
84;5.4127;6.25;10
85;7.2169;6.25;20
86;9.0211;6.25;10
87;2.7063;7.8125;10
88;1.8042;9.375;20
89;0.9021;10.9375;10
90;-4.1497;5.3125;10
91;-6.6756;0.9375;10
92;-2.7063;7.8125;10
93;-1.8042;9.375;20
94;-0.9021;10.9375;10
95;-5.4127;6.25;10
96;-7.2169;6.25;20
97;-9.0211;6.25;10
98;-6.6756;-0.9375;10
99;-4.1497;-5.3125;10
100;-8.119;1.5625;10
101;-9.0211;3.125;20
102;-9.9232;4.6875;10
103;-8.119;-1.5625;10
104;-9.0211;-3.125;20
105;-9.9232;-4.6875;10
106;-2.5259;-6.25;10
107;2.5259;-6.25;10
108;-5.4127;-6.25;10
109;-7.2169;-6.25;20
110;-9.0211;-6.25;10
